Cancer Type,Race,Sex,Year,Age-Adjusted Rate,Case Count,Population
Larynx,All Races and Ethnicities,Female,2020,1,2267,162239308
Esophagus,All Races and Ethnicities,Female,2020,1.6,3702,162239308
Liver,All Races and Ethnicities,Female,2020,3,6832,162239308
Acute Myeloid Leukemia,All Races and Ethnicities,Female,2020,3.4,6928,162239308
Stomach,All Races and Ethnicities,Female,2020,4.1,8630,162239308
Lip Oral Cavity and Pharynx,All Races and Ethnicities,Female,2020,6.2,13142,162239308
Cervix,All Races and Ethnicities,Female,2020,6.8,11542,162239308
Urinary Bladder,All Races and Ethnicities,Female,2020,7.2,16360,162239308
Kidney and Renal Pelvis,All Races and Ethnicities,Female,2020,10.6,22012,162239308
Pancreas,All Races and Ethnicities,Female,2020,11.3,25265,162239308
Colon and Rectum,All Races and Ethnicities,Female,2020,28.6,59389,162239308
Trachea Lung and Bronchus,All Races and Ethnicities,Female,2020,42.7,97082,162239308
All Tobacco-associated Cancers,All Races and Ethnicities,Female,2020,126.7,273151,162239308
