Cancer Type,Race,Sex,Year,Age-Adjusted Rate,Case Count,Population
Cervix,All Races and Ethnicities,Male,2020,Data not presented,Data not presented,Data not presented
Larynx,All Races and Ethnicities,Male,2020,4.5,8780,157351603
Acute Myeloid Leukemia,All Races and Ethnicities,Male,2020,4.8,8564,157351603
Esophagus,All Races and Ethnicities,Male,2020,7.3,13959,157351603
Stomach,All Races and Ethnicities,Male,2020,7.5,13795,157351603
Liver,All Races and Ethnicities,Male,2020,9.7,19292,157351603
Pancreas,All Races and Ethnicities,Male,2020,14.7,27482,157351603
Lip Oral Cavity and Pharynx,All Races and Ethnicities,Male,2020,17.1,32561,157351603
Kidney and Renal Pelvis,All Races and Ethnicities,Male,2020,21.8,40220,157351603
Urinary Bladder,All Races and Ethnicities,Male,2020,29.6,53946,157351603
Colon and Rectum,All Races and Ethnicities,Male,2020,37.1,66851,157351603
Trachea Lung and Bronchus,All Races and Ethnicities,Male,2020,53,100546,157351603
All Tobacco-associated Cancers,All Races and Ethnicities,Male,2020,207.1,385996,157351603
