State,Race,Sex,Age-adjusted Prevalence,Total Respondents
Florida,All Races and Ethnicities,Male and Female,Data not presented,Data not presented
Utah,All Races and Ethnicities,Male and Female,23.3,10108
Puerto Rico,All Races and Ethnicities,Male and Female,24.5,3971
District of Columbia,All Races and Ethnicities,Male and Female,28.9,2977
California,All Races and Ethnicities,Male and Female,29.7,6359
Maryland,All Races and Ethnicities,Male and Female,29.9,14438
New Jersey,All Races and Ethnicities,Male and Female,32.4,7265
Texas,All Races and Ethnicities,Male and Female,32.8,10090
Massachusetts,All Races and Ethnicities,Male and Female,33.2,7350
New York,All Races and Ethnicities,Male and Female,33.7,36013
Hawaii,All Races and Ethnicities,Male and Female,33.8,7461
Virginia,All Races and Ethnicities,Male and Female,34.4,9192
Connecticut,All Races and Ethnicities,Male and Female,35,7655
Illinois,All Races and Ethnicities,Male and Female,35,3059
Washington,All Races and Ethnicities,Male and Female,35.4,12410
Rhode Island,All Races and Ethnicities,Male and Female,36.3,5257
Nebraska,All Races and Ethnicities,Male and Female,36.7,14291
Delaware,All Races and Ethnicities,Male and Female,37.2,3365
Georgia,All Races and Ethnicities,Male and Female,37.2,7444
Idaho,All Races and Ethnicities,Male and Female,37.5,6540
Wisconsin,All Races and Ethnicities,Male and Female,37.8,5862
Arizona,All Races and Ethnicities,Male and Female,37.9,10086
Minnesota,All Races and Ethnicities,Male and Female,38,15020
New Mexico,All Races and Ethnicities,Male and Female,38,6112
Pennsylvania,All Races and Ethnicities,Male and Female,38,6103
North Carolina,All Races and Ethnicities,Male and Female,38.2,4824
Nevada,All Races and Ethnicities,Male and Female,38.3,2625
Colorado,All Races and Ethnicities,Male and Female,38.5,9762
Iowa,All Races and Ethnicities,Male and Female,38.8,9221
Oregon,All Races and Ethnicities,Male and Female,38.8,5130
New Hampshire,All Races and Ethnicities,Male and Female,39.1,6035
Montana,All Races and Ethnicities,Male and Female,39.6,6043
North Dakota,All Races and Ethnicities,Male and Female,39.7,5702
South Dakota,All Races and Ethnicities,Male and Female,39.7,7077
South Carolina,All Races and Ethnicities,Male and Female,39.8,9058
Kansas,All Races and Ethnicities,Male and Female,40.1,16816
Alabama,All Races and Ethnicities,Male and Female,40.5,4387
Mississippi,All Races and Ethnicities,Male and Female,40.5,4271
Vermont,All Races and Ethnicities,Male and Female,41.1,6200
Indiana,All Races and Ethnicities,Male and Female,41.2,9272
Michigan,All Races and Ethnicities,Male and Female,41.9,8810
Ohio,All Races and Ethnicities,Male and Female,41.9,13376
Louisiana,All Races and Ethnicities,Male and Female,42,4722
Oklahoma,All Races and Ethnicities,Male and Female,42.2,5093
Missouri,All Races and Ethnicities,Male and Female,42.5,11886
Wyoming,All Races and Ethnicities,Male and Female,42.8,4189
Tennessee,All Races and Ethnicities,Male and Female,43,4507
Kentucky,All Races and Ethnicities,Male and Female,43.3,5191
Maine,All Races and Ethnicities,Male and Female,43.4,11402
Alaska,All Races and Ethnicities,Male and Female,44,5229
Arkansas,All Races and Ethnicities,Male and Female,44.8,5025
West Virginia,All Races and Ethnicities,Male and Female,47,6563
